Region,Product_Type,Sales_Amount,Payment_Method,Transaction_Time
East,Electronics,137,PayPal,4:00 PM
North,Groceries,59,Bitcoin,11:00 AM
South,Electronics,357,Cash,10:00 AM
South,Furniture,483,Debit Card,3:00 PM
East,Clothing,851,PayPal,12:00 PM
North,Groceries,213,Bitcoin,9:00 PM
South,Electronics,288,Debit Card,4:00 PM
West,Electronics,366,Cash,9:00 AM
West,Electronics,705,Debit Card,4:00 PM
West,Clothing,384,Cash,1:00 PM
North,Electronics,67,PayPal,8:00 PM
South,Toys,120,Credit Card,10:00 AM
West,Toys,224,Credit Card,9:00 AM
North,Electronics,903,PayPal,9:00 PM
West,Toys,849,Debit Card,2:00 PM
East,Groceries,860,Cash,5:00 PM
South,Toys,388,Credit Card,5:00 PM
South,Electronics,985,Cash,5:00 PM
North,Furniture,297,PayPal,7:00 PM
North,Groceries,242,Debit Card,12:00 PM
South,Clothing,468,Cash,2:00 PM
West,Electronics,374,Debit Card,8:00 PM
West,Clothing,355,Credit Card,6:00 PM
East,Furniture,829,Cash,2:00 PM
West,Clothing,253,Bitcoin,1:00 PM
North,Electronics,902,Credit Card,10:00 AM
North,Electronics,172,Debit Card,3:00 PM
West,Furniture,619,PayPal,9:00 PM
North,Electronics,900,Bitcoin,9:00 AM
South,Furniture,496,Cash,2:00 PM
South,Furniture,762,Credit Card,1:00 PM
West,Electronics,540,Cash,1:00 PM
South,Toys,482,Cash,4:00 PM
South,Furniture,673,Bitcoin,5:00 PM
East,Electronics,177,Bitcoin,3:00 PM
East,Toys,597,Bitcoin,6:00 PM
South,Furniture,795,Bitcoin,9:00 PM
West,Toys,871,PayPal,4:00 PM
East,Groceries,96,Debit Card,10:00 AM
North,Groceries,554,Bitcoin,10:00 AM
North,Toys,164,Credit Card,8:00 PM
North,Furniture,465,Cash,4:00 PM
West,Electronics,816,Bitcoin,2:00 PM
South,Clothing,272,Credit Card,4:00 PM
North,Electronics,685,PayPal,5:00 PM
West,Clothing,998,Credit Card,5:00 PM
East,Clothing,552,Credit Card,7:00 PM
South,Furniture,721,PayPal,2:00 PM
East,Toys,982,PayPal,4:00 PM
West,Electronics,145,Cash,10:00 AM
North,Toys,156,Bitcoin,4:00 PM
North,Groceries,681,Credit Card,11:00 AM
West,Furniture,662,Debit Card,9:00 AM
North,Furniture,664,Debit Card,3:00 PM
South,Groceries,727,Cash,9:00 AM
West,Electronics,975,Debit Card,7:00 PM
East,Groceries,747,Cash,9:00 AM
West,Electronics,81,Bitcoin,9:00 AM
South,Clothing,542,Cash,12:00 PM
South,Furniture,115,PayPal,9:00 PM
West,Electronics,228,PayPal,8:00 PM
West,Toys,828,PayPal,9:00 PM
North,Toys,492,PayPal,8:00 PM
South,Furniture,965,PayPal,12:00 PM
West,Groceries,598,PayPal,6:00 PM
West,Groceries,250,PayPal,7:00 PM
South,Electronics,919,PayPal,2:00 PM
West,Groceries,98,PayPal,8:00 PM
North,Furniture,836,Bitcoin,6:00 PM
South,Electronics,729,PayPal,8:00 PM
North,Clothing,312,Cash,11:00 AM
North,Groceries,182,Bitcoin,6:00 PM
North,Groceries,859,Debit Card,2:00 PM
North,Electronics,393,Credit Card,9:00 PM
South,Toys,225,Bitcoin,3:00 PM
North,Groceries,440,PayPal,7:00 PM
North,Furniture,60,Bitcoin,9:00 AM
West,Groceries,250,Credit Card,2:00 PM
South,Clothing,994,Credit Card,6:00 PM
South,Groceries,975,PayPal,9:00 AM
East,Toys,858,PayPal,3:00 PM
South,Groceries,52,Cash,6:00 PM
South,Electronics,263,Credit Card,1:00 PM
East,Groceries,857,PayPal,6:00 PM
South,Toys,356,Credit Card,12:00 PM
South,Electronics,593,Cash,9:00 AM
South,Furniture,609,Debit Card,5:00 PM
South,Electronics,376,Credit Card,3:00 PM
East,Clothing,813,Cash,10:00 AM
South,Electronics,248,Cash,12:00 PM
South,Furniture,965,Cash,12:00 PM
East,Groceries,650,Bitcoin,4:00 PM
West,Electronics,158,PayPal,10:00 AM
North,Electronics,340,Credit Card,7:00 PM
West,Electronics,157,Bitcoin,1:00 PM
East,Electronics,457,Credit Card,6:00 PM
North,Furniture,601,Bitcoin,4:00 PM
East,Toys,101,PayPal,2:00 PM
East,Toys,161,Cash,12:00 PM
South,Electronics,344,Credit Card,1:00 PM
North,Furniture,629,Cash,10:00 AM
South,Furniture,238,PayPal,1:00 PM
North,Electronics,893,Credit Card,11:00 AM
East,Clothing,770,Debit Card,8:00 PM
East,Electronics,114,Debit Card,11:00 AM
West,Clothing,623,Debit Card,3:00 PM
North,Electronics,514,PayPal,11:00 AM
South,Clothing,307,Debit Card,12:00 PM
West,Clothing,695,Credit Card,3:00 PM
West,Electronics,683,Debit Card,11:00 AM
West,Clothing,380,Credit Card,6:00 PM
South,Groceries,550,PayPal,6:00 PM
West,Toys,732,Cash,9:00 PM
South,Furniture,259,Bitcoin,10:00 AM
West,Clothing,857,Debit Card,6:00 PM
South,Clothing,138,Bitcoin,3:00 PM
East,Furniture,728,Cash,1:00 PM
East,Clothing,77,PayPal,9:00 AM
East,Furniture,287,PayPal,8:00 PM
East,Electronics,385,Cash,6:00 PM
East,Groceries,112,Bitcoin,9:00 PM
West,Groceries,816,Debit Card,4:00 PM
West,Toys,957,Credit Card,11:00 AM
West,Clothing,602,PayPal,7:00 PM
South,Toys,549,Cash,3:00 PM
South,Electronics,590,Bitcoin,2:00 PM
South,Groceries,840,Debit Card,6:00 PM
South,Electronics,518,Bitcoin,8:00 PM
East,Electronics,641,Debit Card,9:00 PM
East,Clothing,100,Credit Card,2:00 PM
East,Electronics,161,Credit Card,9:00 PM
North,Groceries,922,Cash,9:00 PM
West,Toys,350,Cash,4:00 PM
South,Groceries,139,Debit Card,9:00 PM
South,Clothing,278,Debit Card,9:00 PM
East,Groceries,199,Debit Card,8:00 PM
South,Furniture,804,Debit Card,9:00 PM
South,Toys,187,Credit Card,12:00 PM
West,Furniture,184,Cash,12:00 PM
East,Furniture,506,Cash,8:00 PM
West,Clothing,650,PayPal,11:00 AM
North,Electronics,543,Cash,9:00 AM
North,Furniture,576,Cash,6:00 PM
North,Groceries,382,Bitcoin,11:00 AM
East,Electronics,411,Bitcoin,9:00 AM
South,Groceries,223,PayPal,2:00 PM
East,Groceries,651,Debit Card,4:00 PM
East,Electronics,262,PayPal,11:00 AM
South,Electronics,392,PayPal,8:00 PM
West,Groceries,110,Credit Card,12:00 PM
North,Clothing,925,Cash,1:00 PM
West,Toys,781,Credit Card,3:00 PM
North,Toys,110,Cash,8:00 PM
East,Clothing,868,PayPal,7:00 PM
North,Electronics,727,Cash,2:00 PM
East,Groceries,573,Debit Card,10:00 AM
West,Toys,265,Debit Card,3:00 PM
East,Groceries,638,PayPal,4:00 PM
West,Clothing,793,Bitcoin,8:00 PM
South,Groceries,673,Debit Card,9:00 AM
South,Clothing,627,PayPal,2:00 PM
South,Electronics,743,Credit Card,7:00 PM
East,Clothing,472,Bitcoin,5:00 PM
South,Clothing,765,Debit Card,3:00 PM
North,Toys,472,PayPal,1:00 PM
West,Groceries,420,PayPal,9:00 PM
West,Toys,255,Credit Card,6:00 PM
North,Furniture,335,Credit Card,7:00 PM
East,Clothing,154,Bitcoin,6:00 PM
East,Furniture,803,Debit Card,5:00 PM
West,Toys,796,PayPal,10:00 AM
South,Groceries,737,Bitcoin,3:00 PM
East,Toys,772,Bitcoin,5:00 PM
East,Groceries,592,Credit Card,10:00 AM
North,Groceries,796,PayPal,9:00 PM
North,Electronics,291,Cash,7:00 PM
South,Clothing,540,Credit Card,6:00 PM
East,Toys,714,PayPal,2:00 PM
East,Groceries,757,Bitcoin,5:00 PM
North,Toys,547,Bitcoin,11:00 AM
East,Toys,484,Debit Card,4:00 PM
West,Groceries,830,Cash,1:00 PM
North,Furniture,533,Credit Card,3:00 PM
South,Clothing,496,Debit Card,9:00 PM
North,Clothing,433,Debit Card,8:00 PM
East,Electronics,559,Cash,11:00 AM
South,Electronics,219,Credit Card,4:00 PM
North,Electronics,999,Credit Card,10:00 AM
West,Clothing,918,Bitcoin,9:00 PM
West,Furniture,372,Credit Card,4:00 PM
North,Clothing,897,Debit Card,10:00 AM
West,Clothing,523,Bitcoin,3:00 PM
West,Clothing,281,Credit Card,10:00 AM
West,Clothing,745,Cash,3:00 PM
South,Furniture,408,Debit Card,9:00 AM
West,Electronics,324,PayPal,2:00 PM
West,Toys,991,Cash,6:00 PM
West,Electronics,960,Cash,3:00 PM
South,Electronics,81,Credit Card,12:00 PM
North,Toys,226,Bitcoin,7:00 PM
East,Clothing,966,Bitcoin,7:00 PM
West,Furniture,114,Debit Card,9:00 AM
North,Furniture,759,Credit Card,8:00 PM
West,Electronics,76,Bitcoin,2:00 PM
South,Toys,712,PayPal,12:00 PM
North,Groceries,864,Credit Card,11:00 AM
South,Clothing,528,Credit Card,12:00 PM
West,Electronics,317,Bitcoin,2:00 PM
West,Furniture,646,Cash,1:00 PM
South,Toys,115,Credit Card,10:00 AM
East,Toys,182,Cash,10:00 AM
South,Electronics,954,Debit Card,11:00 AM
West,Groceries,965,Debit Card,7:00 PM
South,Furniture,415,Bitcoin,2:00 PM
East,Electronics,131,Debit Card,8:00 PM
South,Groceries,942,Bitcoin,9:00 AM
East,Toys,880,Bitcoin,7:00 PM
East,Clothing,377,Cash,3:00 PM
South,Furniture,147,Cash,4:00 PM
South,Furniture,634,Debit Card,3:00 PM
North,Groceries,376,Cash,7:00 PM
West,Electronics,591,Credit Card,11:00 AM
East,Toys,174,PayPal,2:00 PM
North,Groceries,259,Credit Card,12:00 PM
South,Clothing,833,Credit Card,1:00 PM
West,Clothing,774,Bitcoin,11:00 AM
North,Clothing,182,PayPal,1:00 PM
East,Groceries,552,Bitcoin,2:00 PM
North,Toys,206,Cash,4:00 PM
East,Furniture,608,Cash,8:00 PM
South,Electronics,918,PayPal,2:00 PM
West,Furniture,924,Debit Card,5:00 PM
West,Toys,431,Cash,6:00 PM
West,Furniture,71,Credit Card,6:00 PM
South,Groceries,644,PayPal,6:00 PM
East,Clothing,468,PayPal,6:00 PM
South,Toys,521,Cash,12:00 PM
West,Toys,283,Cash,10:00 AM
South,Furniture,621,Bitcoin,8:00 PM
South,Groceries,503,Bitcoin,5:00 PM
South,Furniture,749,Credit Card,7:00 PM
East,Furniture,619,PayPal,11:00 AM
North,Toys,820,Debit Card,7:00 PM
North,Furniture,211,Debit Card,3:00 PM
South,Clothing,350,PayPal,12:00 PM
North,Furniture,355,Credit Card,8:00 PM
North,Clothing,51,Bitcoin,8:00 PM
South,Toys,320,Bitcoin,9:00 AM
South,Groceries,470,Bitcoin,4:00 PM
West,Clothing,192,Debit Card,9:00 PM
North,Groceries,749,Debit Card,8:00 PM
East,Groceries,913,Credit Card,12:00 PM
South,Clothing,902,Debit Card,7:00 PM
West,Toys,785,Cash,2:00 PM
East,Electronics,928,Debit Card,3:00 PM
North,Groceries,741,Bitcoin,4:00 PM
West,Groceries,584,Credit Card,6:00 PM
South,Toys,916,PayPal,10:00 AM
East,Toys,86,PayPal,5:00 PM
South,Furniture,156,Credit Card,6:00 PM
North,Toys,346,Cash,9:00 PM
East,Groceries,790,PayPal,11:00 AM
North,Clothing,874,Bitcoin,9:00 AM
North,Electronics,146,PayPal,10:00 AM
West,Furniture,330,PayPal,4:00 PM
South,Clothing,159,Bitcoin,6:00 PM
East,Electronics,598,Debit Card,2:00 PM
North,Electronics,601,Cash,7:00 PM
North,Electronics,646,Bitcoin,9:00 AM
East,Clothing,863,Bitcoin,7:00 PM
North,Furniture,237,Credit Card,5:00 PM
West,Furniture,801,Cash,3:00 PM
West,Electronics,919,Debit Card,6:00 PM
West,Clothing,537,Bitcoin,7:00 PM
West,Electronics,403,Debit Card,11:00 AM
North,Toys,68,Bitcoin,9:00 PM
East,Furniture,908,Bitcoin,3:00 PM
East,Groceries,442,Credit Card,2:00 PM
East,Electronics,886,PayPal,11:00 AM
East,Toys,310,Cash,4:00 PM
South,Furniture,459,Credit Card,9:00 AM
East,Clothing,452,Debit Card,1:00 PM
South,Furniture,719,Bitcoin,4:00 PM
South,Clothing,533,Bitcoin,11:00 AM
West,Clothing,353,Cash,7:00 PM
South,Electronics,673,Credit Card,9:00 PM
North,Electronics,705,Credit Card,6:00 PM
South,Furniture,817,Debit Card,7:00 PM
West,Toys,67,Credit Card,8:00 PM
South,Furniture,233,Credit Card,2:00 PM
North,Groceries,454,PayPal,6:00 PM
North,Clothing,848,Cash,7:00 PM
North,Clothing,946,Credit Card,10:00 AM
West,Electronics,180,Debit Card,5:00 PM
West,Toys,528,Bitcoin,10:00 AM
East,Electronics,842,Credit Card,1:00 PM
West,Groceries,806,Credit Card,11:00 AM
North,Furniture,57,Bitcoin,6:00 PM
North,Furniture,754,PayPal,8:00 PM
West,Toys,367,Cash,5:00 PM
South,Electronics,440,PayPal,5:00 PM
West,Electronics,568,Debit Card,3:00 PM
West,Groceries,185,Credit Card,6:00 PM
North,Furniture,580,PayPal,1:00 PM
East,Electronics,962,Cash,5:00 PM
North,Toys,700,Debit Card,3:00 PM
East,Furniture,416,PayPal,10:00 AM
North,Groceries,538,Credit Card,6:00 PM
West,Toys,738,Cash,9:00 AM
North,Clothing,60,Credit Card,6:00 PM
North,Groceries,602,Credit Card,6:00 PM
North,Toys,495,Debit Card,12:00 PM
West,Electronics,163,Cash,6:00 PM
West,Clothing,741,Bitcoin,4:00 PM
West,Groceries,755,Credit Card,2:00 PM
West,Electronics,245,Cash,10:00 AM
East,Clothing,909,Credit Card,1:00 PM
East,Furniture,786,PayPal,5:00 PM
South,Electronics,892,PayPal,2:00 PM
West,Toys,372,Cash,2:00 PM
East,Groceries,985,Debit Card,3:00 PM
North,Clothing,822,Bitcoin,9:00 PM
West,Electronics,561,PayPal,7:00 PM
South,Furniture,677,Debit Card,1:00 PM
South,Groceries,711,Bitcoin,11:00 AM
South,Groceries,679,PayPal,11:00 AM
North,Electronics,214,Bitcoin,1:00 PM
East,Furniture,301,Credit Card,12:00 PM
North,Clothing,828,Cash,1:00 PM
West,Electronics,93,PayPal,5:00 PM
South,Clothing,519,PayPal,1:00 PM
North,Groceries,538,Credit Card,12:00 PM
North,Clothing,230,PayPal,9:00 PM
East,Furniture,126,PayPal,12:00 PM
East,Toys,423,PayPal,9:00 AM
South,Furniture,677,PayPal,6:00 PM
North,Clothing,116,PayPal,12:00 PM
North,Electronics,574,Debit Card,8:00 PM
East,Groceries,141,PayPal,12:00 PM
North,Toys,807,Credit Card,5:00 PM
North,Electronics,828,PayPal,7:00 PM
North,Electronics,700,Bitcoin,12:00 PM
East,Furniture,902,Bitcoin,3:00 PM
South,Clothing,293,Credit Card,9:00 AM
West,Furniture,390,Debit Card,3:00 PM
South,Clothing,952,Credit Card,10:00 AM
West,Furniture,834,Debit Card,8:00 PM
North,Electronics,353,Cash,7:00 PM
South,Groceries,447,Bitcoin,4:00 PM
West,Clothing,752,Bitcoin,9:00 AM
East,Toys,497,Bitcoin,6:00 PM
East,Toys,146,Debit Card,11:00 AM
South,Electronics,380,Credit Card,4:00 PM
South,Furniture,254,Debit Card,6:00 PM
North,Furniture,498,Bitcoin,4:00 PM
South,Electronics,467,Bitcoin,7:00 PM
North,Toys,698,Bitcoin,9:00 PM
North,Toys,126,Bitcoin,1:00 PM
East,Furniture,945,Cash,1:00 PM
East,Clothing,598,Bitcoin,4:00 PM
West,Groceries,847,Debit Card,6:00 PM
East,Clothing,474,Bitcoin,1:00 PM
East,Toys,478,PayPal,5:00 PM
South,Clothing,534,Cash,9:00 AM
East,Groceries,864,Bitcoin,1:00 PM
West,Clothing,184,PayPal,11:00 AM
South,Clothing,703,Debit Card,11:00 AM
West,Clothing,303,Cash,10:00 AM
East,Clothing,609,Bitcoin,11:00 AM
West,Electronics,304,Debit Card,3:00 PM
South,Toys,695,PayPal,4:00 PM
North,Groceries,851,Cash,8:00 PM
West,Toys,769,Bitcoin,4:00 PM
West,Electronics,548,Debit Card,7:00 PM
South,Electronics,662,Cash,4:00 PM
South,Electronics,533,PayPal,9:00 AM
West,Electronics,95,Bitcoin,7:00 PM
East,Clothing,492,Cash,3:00 PM
West,Toys,631,PayPal,10:00 AM
South,Furniture,697,PayPal,7:00 PM
North,Groceries,841,Debit Card,6:00 PM
North,Electronics,628,PayPal,12:00 PM
East,Toys,53,PayPal,1:00 PM
West,Electronics,785,Credit Card,8:00 PM
North,Electronics,50,PayPal,9:00 AM
West,Electronics,339,Bitcoin,12:00 PM
South,Electronics,158,Cash,12:00 PM
North,Electronics,826,Bitcoin,5:00 PM
East,Groceries,624,Bitcoin,5:00 PM
South,Toys,509,Debit Card,9:00 PM
East,Electronics,315,Credit Card,9:00 PM
South,Electronics,187,Credit Card,7:00 PM
North,Electronics,483,Bitcoin,6:00 PM
East,Electronics,93,Cash,9:00 AM
East,Clothing,935,Credit Card,4:00 PM
South,Clothing,559,Credit Card,12:00 PM
East,Furniture,993,Bitcoin,12:00 PM
South,Electronics,311,Credit Card,1:00 PM
South,Furniture,777,Debit Card,10:00 AM
South,Groceries,682,Bitcoin,9:00 AM
South,Furniture,201,Credit Card,1:00 PM
North,Toys,262,Credit Card,3:00 PM
South,Clothing,283,Credit Card,6:00 PM
West,Clothing,912,Bitcoin,5:00 PM
East,Electronics,672,Cash,8:00 PM
West,Electronics,410,PayPal,8:00 PM
North,Groceries,369,Credit Card,9:00 PM
West,Groceries,271,PayPal,10:00 AM
East,Toys,787,PayPal,8:00 PM
West,Electronics,259,Credit Card,4:00 PM
North,Electronics,445,Credit Card,3:00 PM
South,Groceries,980,PayPal,10:00 AM
West,Groceries,632,Cash,1:00 PM
North,Groceries,538,PayPal,3:00 PM
North,Clothing,921,Cash,11:00 AM
East,Furniture,650,Debit Card,10:00 AM
East,Furniture,823,Cash,2:00 PM
West,Electronics,927,Bitcoin,6:00 PM
South,Clothing,513,Credit Card,9:00 PM
North,Groceries,749,Debit Card,2:00 PM
West,Electronics,673,PayPal,7:00 PM
North,Clothing,501,Cash,12:00 PM
North,Toys,462,Debit Card,9:00 AM
South,Clothing,983,Bitcoin,1:00 PM
South,Electronics,800,Cash,9:00 AM
West,Furniture,525,PayPal,7:00 PM
South,Groceries,305,PayPal,7:00 PM
South,Toys,199,Cash,4:00 PM
West,Clothing,176,Bitcoin,10:00 AM
South,Electronics,441,Credit Card,5:00 PM
East,Electronics,880,Credit Card,5:00 PM
North,Groceries,529,PayPal,11:00 AM
North,Electronics,446,Bitcoin,2:00 PM
North,Electronics,972,PayPal,5:00 PM
North,Groceries,451,Credit Card,3:00 PM
West,Toys,323,PayPal,12:00 PM
North,Furniture,894,Cash,11:00 AM
North,Furniture,959,Cash,10:00 AM
North,Clothing,188,Bitcoin,6:00 PM
North,Toys,152,Credit Card,6:00 PM
East,Clothing,291,Bitcoin,9:00 AM
North,Furniture,166,Bitcoin,7:00 PM
East,Groceries,263,Credit Card,6:00 PM
West,Electronics,533,Debit Card,7:00 PM
South,Furniture,578,Debit Card,9:00 AM
North,Toys,740,PayPal,8:00 PM
South,Furniture,273,Debit Card,12:00 PM
South,Toys,319,Cash,12:00 PM
West,Toys,874,Bitcoin,5:00 PM
South,Toys,910,PayPal,6:00 PM
East,Clothing,183,Bitcoin,9:00 AM
South,Groceries,163,Credit Card,7:00 PM
South,Furniture,490,Debit Card,12:00 PM
South,Groceries,693,Credit Card,11:00 AM
North,Electronics,700,PayPal,5:00 PM
North,Furniture,414,Cash,9:00 PM
East,Groceries,281,Debit Card,1:00 PM
East,Groceries,507,Credit Card,5:00 PM
North,Electronics,424,Debit Card,6:00 PM
East,Toys,653,Bitcoin,2:00 PM
North,Furniture,828,Cash,7:00 PM
West,Furniture,660,Debit Card,5:00 PM
South,Electronics,256,Cash,9:00 AM
South,Toys,569,Bitcoin,9:00 PM
East,Furniture,517,Bitcoin,12:00 PM
North,Furniture,931,Credit Card,12:00 PM
North,Furniture,492,PayPal,6:00 PM
East,Toys,966,Credit Card,6:00 PM
North,Electronics,370,Cash,2:00 PM
West,Furniture,142,Credit Card,6:00 PM
South,Groceries,457,Debit Card,9:00 PM
East,Toys,207,Credit Card,9:00 AM
East,Clothing,921,PayPal,6:00 PM
North,Electronics,148,PayPal,1:00 PM
East,Groceries,274,Cash,11:00 AM
West,Furniture,901,Bitcoin,9:00 AM
North,Clothing,490,PayPal,2:00 PM
North,Electronics,769,Cash,11:00 AM
North,Toys,634,PayPal,12:00 PM
North,Clothing,450,PayPal,8:00 PM
West,Clothing,620,Bitcoin,5:00 PM
North,Groceries,848,Debit Card,10:00 AM
East,Electronics,113,Cash,9:00 AM
West,Groceries,817,PayPal,6:00 PM
South,Groceries,609,PayPal,2:00 PM
South,Furniture,328,Credit Card,8:00 PM
East,Toys,759,Debit Card,9:00 AM
East,Clothing,719,Bitcoin,9:00 AM
West,Electronics,872,Cash,3:00 PM
South,Toys,568,PayPal,10:00 AM
South,Toys,297,Cash,12:00 PM
South,Electronics,417,Bitcoin,12:00 PM
South,Toys,793,Debit Card,10:00 AM
South,Furniture,667,Credit Card,2:00 PM
North,Toys,147,Debit Card,6:00 PM
East,Furniture,317,Credit Card,10:00 AM
North,Clothing,109,Cash,8:00 PM
South,Clothing,549,Debit Card,4:00 PM
West,Groceries,357,Debit Card,12:00 PM
West,Furniture,542,Debit Card,9:00 AM
South,Clothing,460,Bitcoin,3:00 PM
South,Toys,189,Cash,2:00 PM
West,Electronics,958,Credit Card,8:00 PM
North,Electronics,377,Debit Card,2:00 PM
North,Furniture,513,Cash,7:00 PM
South,Groceries,751,Bitcoin,11:00 AM
North,Toys,686,Bitcoin,6:00 PM
West,Furniture,974,Cash,3:00 PM
North,Electronics,212,Credit Card,2:00 PM
South,Furniture,109,Cash,6:00 PM
West,Toys,974,Cash,6:00 PM
North,Clothing,80,PayPal,5:00 PM
East,Toys,382,Bitcoin,11:00 AM
West,Clothing,125,Credit Card,11:00 AM
West,Clothing,804,PayPal,12:00 PM
East,Clothing,366,Cash,11:00 AM
East,Furniture,819,Bitcoin,12:00 PM
West,Electronics,466,PayPal,2:00 PM
East,Furniture,239,PayPal,9:00 AM
South,Electronics,538,Credit Card,10:00 AM
South,Toys,938,Cash,6:00 PM
South,Groceries,364,Credit Card,2:00 PM
West,Toys,345,PayPal,8:00 PM
East,Furniture,550,PayPal,9:00 PM
East,Furniture,226,Credit Card,2:00 PM
North,Electronics,849,PayPal,8:00 PM
North,Furniture,855,Debit Card,9:00 AM
East,Clothing,909,Bitcoin,2:00 PM
East,Furniture,768,Cash,7:00 PM
East,Electronics,264,Bitcoin,8:00 PM
West,Electronics,905,Cash,5:00 PM
East,Clothing,702,PayPal,4:00 PM
North,Electronics,646,Credit Card,6:00 PM
West,Groceries,743,Credit Card,1:00 PM
East,Toys,381,PayPal,9:00 PM
North,Furniture,177,Cash,12:00 PM
West,Groceries,318,PayPal,2:00 PM
East,Furniture,600,Cash,7:00 PM
East,Groceries,584,PayPal,8:00 PM
East,Furniture,803,PayPal,1:00 PM
West,Clothing,415,PayPal,9:00 PM
North,Electronics,668,Credit Card,2:00 PM
North,Electronics,397,Cash,6:00 PM
South,Clothing,191,PayPal,7:00 PM
East,Groceries,194,Bitcoin,11:00 AM
South,Toys,841,Bitcoin,3:00 PM
South,Groceries,294,Credit Card,4:00 PM
North,Electronics,491,Debit Card,1:00 PM
West,Toys,752,Credit Card,1:00 PM
West,Furniture,339,Debit Card,8:00 PM
North,Toys,740,Credit Card,12:00 PM
West,Groceries,161,Bitcoin,6:00 PM
South,Clothing,263,PayPal,1:00 PM
East,Furniture,699,Cash,8:00 PM
North,Groceries,935,PayPal,6:00 PM
East,Furniture,249,Bitcoin,7:00 PM
West,Toys,454,Cash,4:00 PM
East,Electronics,470,Debit Card,1:00 PM
West,Groceries,56,Debit Card,5:00 PM
West,Clothing,907,Bitcoin,9:00 PM
South,Toys,574,Cash,8:00 PM
West,Groceries,641,PayPal,9:00 PM
South,Clothing,335,Bitcoin,9:00 AM
South,Groceries,720,Debit Card,3:00 PM
South,Toys,438,Bitcoin,1:00 PM
North,Groceries,465,PayPal,12:00 PM
North,Furniture,833,Credit Card,11:00 AM
West,Toys,762,Credit Card,8:00 PM
South,Groceries,199,PayPal,6:00 PM
North,Electronics,477,Cash,3:00 PM
South,Groceries,857,Bitcoin,8:00 PM
East,Furniture,342,PayPal,10:00 AM
East,Clothing,383,Credit Card,1:00 PM
East,Clothing,321,Debit Card,10:00 AM
West,Clothing,92,PayPal,3:00 PM
South,Electronics,517,PayPal,2:00 PM
East,Furniture,368,PayPal,9:00 PM
North,Toys,541,Credit Card,6:00 PM
East,Clothing,576,Credit Card,3:00 PM
East,Furniture,809,PayPal,8:00 PM
East,Groceries,221,PayPal,5:00 PM
West,Electronics,779,Cash,9:00 PM
North,Furniture,698,Debit Card,10:00 AM
South,Furniture,370,Bitcoin,5:00 PM
North,Toys,788,Bitcoin,3:00 PM
South,Furniture,93,Bitcoin,10:00 AM
West,Toys,581,Credit Card,6:00 PM
West,Electronics,680,Credit Card,10:00 AM
West,Electronics,503,Cash,12:00 PM
West,Groceries,795,Credit Card,10:00 AM
South,Toys,929,PayPal,9:00 AM
East,Toys,940,Debit Card,2:00 PM
South,Clothing,978,Debit Card,6:00 PM
North,Clothing,897,Debit Card,7:00 PM
West,Groceries,917,Debit Card,1:00 PM
West,Electronics,823,Bitcoin,8:00 PM
North,Clothing,132,Bitcoin,11:00 AM
South,Furniture,592,PayPal,7:00 PM
East,Electronics,371,Cash,9:00 AM
East,Furniture,835,Credit Card,5:00 PM
North,Toys,283,Credit Card,4:00 PM
East,Electronics,589,Bitcoin,2:00 PM
South,Groceries,301,Debit Card,2:00 PM
South,Toys,885,PayPal,8:00 PM
North,Toys,814,Cash,12:00 PM
South,Furniture,498,Bitcoin,9:00 PM
West,Toys,288,PayPal,10:00 AM
North,Clothing,539,PayPal,8:00 PM
South,Electronics,931,Bitcoin,12:00 PM
North,Clothing,513,PayPal,10:00 AM
East,Furniture,990,Debit Card,9:00 PM
South,Furniture,363,PayPal,3:00 PM
West,Electronics,224,Cash,5:00 PM
South,Toys,755,PayPal,9:00 PM
North,Groceries,229,Credit Card,10:00 AM
North,Furniture,981,PayPal,5:00 PM
South,Electronics,434,Bitcoin,5:00 PM
West,Groceries,344,Credit Card,4:00 PM
West,Toys,264,Bitcoin,9:00 AM
West,Furniture,764,Cash,1:00 PM
North,Electronics,811,Debit Card,6:00 PM
South,Electronics,923,Cash,9:00 PM
East,Electronics,818,Credit Card,9:00 PM
North,Furniture,124,Debit Card,7:00 PM
West,Groceries,393,PayPal,12:00 PM
South,Electronics,763,Credit Card,3:00 PM
West,Toys,191,Debit Card,9:00 PM
East,Electronics,767,Bitcoin,7:00 PM
West,Groceries,248,Debit Card,4:00 PM
West,Furniture,968,Bitcoin,6:00 PM
East,Electronics,220,Bitcoin,7:00 PM
South,Electronics,455,Debit Card,9:00 PM
North,Toys,877,Cash,4:00 PM
South,Toys,277,Cash,10:00 AM
East,Electronics,460,Bitcoin,11:00 AM
West,Electronics,947,Credit Card,9:00 PM
South,Toys,984,Debit Card,6:00 PM
North,Groceries,740,Credit Card,6:00 PM
East,Clothing,927,Cash,3:00 PM
South,Clothing,836,Credit Card,12:00 PM
North,Electronics,111,PayPal,2:00 PM
East,Toys,376,PayPal,4:00 PM
North,Furniture,765,Cash,4:00 PM
East,Furniture,928,Credit Card,3:00 PM
West,Clothing,182,Debit Card,9:00 PM
South,Groceries,633,Cash,8:00 PM
North,Clothing,639,PayPal,10:00 AM
East,Electronics,238,Cash,10:00 AM
North,Groceries,405,Credit Card,11:00 AM
North,Furniture,120,Credit Card,12:00 PM
South,Toys,312,Credit Card,9:00 AM
West,Toys,355,Bitcoin,1:00 PM
